"visit_id","aggregate_visit_id","visit_date","store_id","agent_master_id"
"3006705_1129370_20260724","850256277_20260724_2327","24.07.2026 0:00:00","850256277","3006705"
"3006705_1129370_20260731","850256277_20260731_2327","31.07.2026 0:00:00","850256277","3006705"
"3006705_1135650_20260702","850253051_20260702_2327","02.07.2026 0:00:00","850253051","3006705"
"3006705_1135650_20260709","850253051_20260709_2327","09.07.2026 0:00:00","850253051","3006705"
"3006705_1135650_20260716","850253051_20260716_2327","16.07.2026 0:00:00","850253051","3006705"
"3006705_1135650_20260723","850253051_20260723_2327","23.07.2026 0:00:00","850253051","3006705"
"3006705_1135650_20260730","850253051_20260730_2327","30.07.2026 0:00:00","850253051","3006705"
"3006705_1137053_20260702","850273497_20260702_2327","02.07.2026 0:00:00","850273497","3006705"
"3006705_1137053_20260709","850273497_20260709_2327","09.07.2026 0:00:00","850273497","3006705"
"3006705_1137053_20260716","850273497_20260716_2327","16.07.2026 0:00:00","850273497","3006705"
"3006705_1137053_20260723","850273497_20260723_2327","23.07.2026 0:00:00","850273497","3006705"
"3006705_1137053_20260730","850273497_20260730_2327","30.07.2026 0:00:00","850273497","3006705"
"3006705_1142794_20260701","850293016_20260701_0137","01.07.2026 0:00:00","850293016","3006705"
"3006705_1142794_20260708","850293016_20260708_2327","08.07.2026 0:00:00","850293016","3006705"
"3006705_1142794_20260715","850293016_20260715_2327","15.07.2026 0:00:00","850293016","3006705"
"3006705_1155301_20260701","850150414_20260701_2327","01.07.2026 0:00:00","850150414","3006705"
"3006705_1155301_20260708","850150414_20260708_2327","08.07.2026 0:00:00","850150414","3006705"
"3006705_1155301_20260715","850150414_20260715_2327","15.07.2026 0:00:00","850150414","3006705"
"3006705_1155301_20260722","850150414_20260722_2327","22.07.2026 0:00:00","850150414","3006705"
"3006705_1155301_20260729","850150414_20260729_2327","29.07.2026 0:00:00","850150414","3006705"
"3006705_1158151_20260701","850286660_20260701_2327","01.07.2026 0:00:00","850286660","3006705"
"3006705_1158151_20260708","850286660_20260708_2327","08.07.2026 0:00:00","850286660","3006705"
"3006705_1158151_20260715","850286660_20260715_2327","15.07.2026 0:00:00","850286660","3006705"
"3006705_1158151_20260722","850286660_20260722_2327","22.07.2026 0:00:00","850286660","3006705"
"3006705_1158151_20260729","850286660_20260729_2327","29.07.2026 0:00:00","850286660","3006705"
"3006705_1160790_20260708","850184972_20260708_2327","08.07.2026 0:00:00","850184972","3006705"
"3006705_1160790_20260715","850184972_20260715_2327","15.07.2026 0:00:00","850184972","3006705"
"3006705_1160790_20260722","850184972_20260722_2327","22.07.2026 0:00:00","850184972","3006705"
"3006705_1160790_20260729","850184972_20260729_2327","29.07.2026 0:00:00","850184972","3006705"
"3006705_1162245_20260701","850196591_20260701_2327","01.07.2026 0:00:00","850196591","3006705"
"3006705_1162245_20260703","850196591_20260703_2327","03.07.2026 0:00:00","850196591","3006705"
"3006705_1162245_20260708","850196591_20260708_2327","08.07.2026 0:00:00","850196591","3006705"
"3006705_1162245_20260710","850196591_20260710_2327","10.07.2026 0:00:00","850196591","3006705"
